acl 2.3.1-1
haskell-mime-types 0.1.0.9-13
haskell-monad-loops 0.4.3-24
haskell-mono-traversable 1.0.15.3-10
haskell-netlink 1.1.1.0-12
haskell-network 3.1.2.5-1
haskell-network-uri 2.6.4.1-49
haskell-old-locale 1.0.0.7-29
haskell-old-time 1.1.0.3-29
haskell-parallel 3.2.2.0-16
haskell-parsec-numbers 0.1.0-17
haskell-pem 0.2.4-194
haskell-pretty-hex 1.1-8
haskell-primitive 0.7.2.0-28
haskell-profunctors 5.6.2-54
haskell-random 1.2.1-23
haskell-reflection 2.1.6-110
haskell-regex-base 0.94.0.2-1
haskell-regex-compat 0.95.2.1-5
haskell-regex-posix 0.96.0.1-2
haskell-resourcet 1.2.4.3-16
haskell-safe-exceptions 0.1.7.2-19
haskell-scientific 0.3.7.0-27
haskell-semigroupoids 5.3.6-9
haskell-setlocale 1.0.0.10-3
haskell-socks 0.6.1-141
haskell-split 0.2.3.4-159
haskell-splitmix 0.1.0.4-6
haskell-statevar 1.2.2-1
haskell-streaming-commons 0.2.2.1-109
haskell-strict 0.4.0.1-83
haskell-tagged 0.8.6.1-4
haskell-temporary 1.3-318
haskell-th-abstraction 0.4.3.0-1
haskell-th-compat 0.1.3-11
haskell-th-lift 0.8.2-10
haskell-these 1.1.1.1-110
haskell-time-compat 1.9.6.1-11
haskell-timezone-olson 0.2.0-5
haskell-timezone-series 0.1.9-11
haskell-tls 1.5.5-57
haskell-transformers-base 0.4.6-16
haskell-transformers-compat 0.7.1-1
haskell-typed-process 0.2.7.0-7
haskell-unliftio-core 0.2.0.1-8
haskell-unordered-containers 0.2.14.0-27
haskell-utf8-string 1.0.2-64
haskell-uuid-types 1.0.5-31
haskell-vector 0.12.3.1-14
haskell-vector-algorithms 0.8.0.4-79
haskell-void 0.7.3-117
haskell-x11 1.10.1-1
haskell-x11-xft 0.3.1-188
haskell-x509 1.7.5-174
haskell-x509-store 1.6.7-173
haskell-x509-system 1.6.6-241
haskell-x509-validation 1.6.11-173
haskell-xml-conduit 1.9.1.1-55
haskell-xml-types 0.3.8-7
haskell-zip-archive 0.4.1-146
haskell-zlib 0.6.2.3-47
hicolor-icon-theme 0.17-2
hidapi 0.11.0-1
htop 3.1.2-1
hwids 20210613-1
hwloc 2.5.0-1
i3lock-color 2.13.c.4-1
iana-etc 20211025-1
ibus 1.5.25-5
icu 70.1-1
ijs 0.35-3
imagemagick 7.1.0.17-1
imlib2 1.7.5-1
iproute2 5.15.0-1
iptables 1:1.8.7-1
iputils 20210722-1
iso-codes 4.8.0-1
jack2 1.9.19-2
jansson 2.14-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.13.u8-1
jq 1.6-4
jre11-openjdk 11.0.13.u8-1
jre11-openjdk-headless 11.0.13.u8-1
js78 78.15.0-1
json-c 0.15-2
json-glib 1.6.6-1
jsoncpp 1.9.4-1
karchive 5.89.0-1
kauth 5.89.0-1
kbd 2.4.0-2
kbookmarks 5.89.0-1
kcodecs 5.89.0-1
kcompletion 5.89.0-1
kconfig 5.89.0-1
kconfigwidgets 5.89.0-1
kcoreaddons 5.89.0-1
kcrash 5.89.0-1
kdbusaddons 5.89.0-1
kded 5.89.0-1
keepassxc 2.6.6-1
keyutils 1.6.3-1
kglobalaccel 5.89.0-1
kguiaddons 5.89.0-1
ki18n 5.89.0-1
kiconthemes 5.89.0-1
kio 5.89.0-1
kitemviews 5.89.0-1
kjobwidgets 5.89.0-1
kmod 29-1
knewstuff 5.89.0-1
knotifications 5.89.0-1
knotifyconfig 5.89.0-1
kpackage 5.89.0-1
kparts 5.89.0-1
kpty 5.89.0-1
krb5 1.19.2-2
kservice 5.89.0-1
ktextwidgets 5.89.0-1
kwallet 5.89.0-1
kwidgetsaddons 5.89.0-1
kwindowsystem 5.89.0-1
kxmlgui 5.89.0-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.12-1
ldns 1.7.1-2
less 1:590-1
lf 26-1
libaio 0.3.112-2
libarchive 3.5.2-1
libass 0.15.2-1
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.9.3-1
libblockdev 2.26-3
libbluray 1.3.0-1
libbsd 0.11.3-1
libbytesize 2.6-3
libcanberra 0.30+2+gc0620e4-5
libcap 2.62-1
libcap-ng 0.8.2-6
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1-2
libcolord 1.4.5-4
libconfig 1.7.3-1
libcroco 0.6.13-2
libcups 1:2.4.0-4
libcurl-gnutls 7.80.0-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-6
libde265 1.0.8-1
libdrm 2.4.109-1
libdvdnav 6.1.1-1
libdvdread 6.1.2-1
libedit 20210910_3.1-1
libelf 0.186-1
libepoxy 1.5.9-1
libev 4.33-1
libevdev 1.12.0-1
libevent 2.1.12-1
libexif 0.6.24-1
libffi 3.4.2-4
libfm 1.3.2-1
libfm-extra 1.3.2-1
libfm-gtk2 1.3.2-1
libfontenc 1.1.4-3
libgcrypt 1.9.4-1
libgee 0.20.4-1
libglvnd 1.3.4-1
libgnomekbd 3.26.1+2+g8d02ebd-2
libgpg-error 1.43-1
libgtop 2.40.0+2+g31db82ef-2
libgudev 237-1
libheif 1.12.0-2
libibus 1.5.25-5
libical 3.0.12-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.38-1
libidn2 2.3.2-1
libiec61883 1.2.0-6
libimobiledevice 1.3.0-5
libinih 53-1
libinput 1.19.3-1
libjpeg-turbo 2.1.2-1
libksba 1.6.0-1
libldap 2.6.0-2
liblqr 0.4.2-3
